eco	name	pgn	uci_moves	games	parents	fen	ply	player_white	player_black	player_white_with_children	player_black_with_children	player_total	player_total_with_children	all_pct	player_pct	player_pct_with_children	white_pct	white_pct_with_children	black_pct	black_pct_with_children	ratio_white	ratio_black
B00	King's Pawn Game	1. e4	['e2e4']	2743851447	[]	rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1	1	3	2	3400	2619	5	6019	0.18483038417948905	0.0005734602592040372	0.20208158469028034	0.0006880733944954129	0.23097826086956522	0.0004588208304657031	0.17384666445403252	1.249676896441777	0.9405740578086434
A40	Queen's Pawn Game	1. d4	['d2d4']	1172382292	[]	rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1	1	20	42	835	1121	62	1956	0.07897361559880028	0.0071109072141300605	0.06567063958368306	0.0045871559633027525	0.05672554347826087	0.009635237439779766	0.07441088615997345	0.7182847467239756	0.9422246353515547
C40	King's Knight Opening	1. e4 e5 2. Nf3	['e2e4', 'e7e5', 'g1f3']	685445740	"[""King's Pawn Game""]"	rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2	3	0	2	8	368	2	376	0.04617276186613982	0.00022938410368161487	0.012623803928151755	0.0	0.0005434782608695652	0.0004588208304657031	0.024427480916030534	0.011770538276336416	0.5290452623745712
B20	Sicilian Defense	1. e4 c5	['e2e4', 'c7c5']	502221832	"[""King's Pawn Game""]"	rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2	2	8	57	601	1119	65	1720	0.033830495544275294	0.007454983369652483	0.05774718818197079	0.001834862385321101	0.040828804347826084	0.01307639366827254	0.07427812811151677	1.2068639164446122	2.1955968104075234
C44	King's Knight Opening: Normal Variation	1. e4 e5 2. Nf3 Nc6	['e2e4', 'e7e5', 'g1f3', 'b8c6']	429385033	"[""King's Pawn Game"", ""King's Knight Opening""]"	r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3	4	1	3	6	304	4	310	0.028924087962956178	0.00045876820736322975	0.010407923451401712	0.00022935779816513763	0.0004076086956521739	0.0006882312456985547	0.02017922336541653	0.014092361224119108	0.6976615266576627
B01	Scandinavian Defense	1. e4 d5	['e2e4', 'd7d5']	284184020	"[""King's Pawn Game""]"	rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2	2	245	29	258	217	274	475	0.019143106909705672	0.031425622204381234	0.015947624643276818	0.05619266055045872	0.017527173913043478	0.0066529020417526955	0.014404248257550614	0.9155866911111014	0.752450912252262
C00	French Defense	1. e4 e6	['e2e4', 'e7e6']	279229958	"[""King's Pawn Game""]"	rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2	2	9	1	474	67	10	541	0.01880939307701617	0.0011469205184080743	0.01816350512002686	0.0020642201834862386	0.03220108695652174	0.00022941041523285156	0.004447394623299038	1.7119684204946164	0.23644540815798354
A45	Indian Defense	1. d4 Nf6	['d2d4', 'g8f6']	228453069	"[""Queen's Pawn Game""]"	rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2	2	2	168	199	585	170	784	0.01538897761991461	0.019497648812937262	0.026321974148061103	0.00045871559633027525	0.013519021739130435	0.038540949759119064	0.03883172917358115	0.8784873220970639	2.52334691313929
D06	Queen's Gambit	1. d4 d5 2. c4	['d2d4', 'd7d5', 'c2c4']	191832969	"[""Queen's Pawn Game""]"	rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2	3	0	0	26	89	0	115	0.012922186949052426	0.0	0.003861003861003861	0.0	0.001766304347826087	0.0	0.005907733156322602	0.13668772590816053	0.45717750250903244
C50	Italian Game	1. e4 e5 2. Nf3 Nc6 3. Bc4	['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1c4']	189985983	"[""King's Pawn Game"", ""King's Knight Opening"", ""King's Knight Opening: Normal Variation""]"	r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3	5	0	4	0	120	4	120	0.012797770908844642	0.00045876820736322975	0.004028873594090985	0.0	0.0	0.0009176416609314062	0.007965482907401261	0.0	0.6224117437432992
B10	Caro-Kann Defense	1. e4 c6	['e2e4', 'c7c6']	178783760	"[""King's Pawn Game""]"	rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2	2	34	6	334	25	40	359	0.01204317058854738	0.004587682073632297	0.012053046835655532	0.007798165137614679	0.02269021739130435	0.0013764624913971094	0.001659475605708596	1.884073402803239	0.13779391344723602
A04	Zukertort Opening	1. Nf3	['g1f3']	165881072	[]	rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1	1	3	8	19	132	11	151	0.011174024125609116	0.0012616125702488818	0.0050696659392311565	0.0006880733944954129	0.0012907608695652173	0.0018352833218628125	0.008762031198141387	0.11551441585014974	0.7841428566509161
