eco	name	pgn	uci_moves	games	parents	fen	ply	player_white	player_black	player_white_with_children	player_black_with_children	player_total	player_total_with_children	all_pct	player_pct	player_pct_with_children	white_pct	white_pct_with_children	black_pct	black_pct_with_children	ratio_white	ratio_black	popularity_rank
B00	King's Pawn Game	1. e4	['e2e4']	2743851447	[]	rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1	1	0	0	112	77	0	189	0.18483038417948905	0.0	0.1911021233569262	0.0	0.23045267489711935	0.0	0.15308151093439365	1.2468332840412562	0.8282269801794925	1
A40	Queen's Pawn Game	1. d4	['d2d4']	1172382292	[]	rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1	1	4	4	36	40	8	76	0.07897361559880028	0.02702702702702703	0.07684529828109202	0.02666666666666667	0.07407407407407407	0.0273972602739726	0.07952286282306163	0.9379597668464777	1.006954819278525	2
C40	King's Knight Opening	1. e4 e5 2. Nf3	['e2e4', 'e7e5', 'g1f3']	685445740	"[""King's Pawn Game""]"	rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2	3	0	0	0	6	0	6	0.04617276186613982	0.0	0.006066734074823054	0.0	0.0	0.0	0.011928429423459244	0.0	0.2583434245939444	3
B20	Sicilian Defense	1. e4 c5	['e2e4', 'c7c5']	502221832	"[""King's Pawn Game""]"	rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2	2	1	1	17	45	2	62	0.033830495544275294	0.006756756756756757	0.06268958543983821	0.006666666666666667	0.03497942386831276	0.00684931506849315	0.08946322067594434	1.0339613211557548	2.6444549285085204	4
C44	King's Knight Opening: Normal Variation	1. e4 e5 2. Nf3 Nc6	['e2e4', 'e7e5', 'g1f3', 'b8c6']	429385033	"[""King's Pawn Game"", ""King's Knight Opening""]"	r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3	4	0	0	0	3	0	3	0.028924087962956178	0.0	0.003033367037411527	0.0	0.0	0.0	0.005964214711729622	0.0	0.20620234316007285	5
B01	Scandinavian Defense	1. e4 d5	['e2e4', 'd7d5']	284184020	"[""King's Pawn Game""]"	rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2	2	13	1	14	2	14	16	0.019143106909705672	0.0472972972972973	0.016177957532861477	0.08666666666666667	0.02880658436213992	0.00684931506849315	0.003976143141153081	1.5048019372202746	0.20770626000825143	6
C00	French Defense	1. e4 e6	['e2e4', 'e7e6']	279229958	"[""King's Pawn Game""]"	rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2	2	1	0	14	3	1	17	0.01880939307701617	0.0033783783783783786	0.017189079878665317	0.006666666666666667	0.02880658436213992	0.0	0.005964214711729622	1.5314999396413091	0.31708703663689697	7
A45	Indian Defense	1. d4 Nf6	['d2d4', 'g8f6']	228453069	"[""Queen's Pawn Game""]"	rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2	2	1	6	10	28	7	38	0.01538897761991461	0.02364864864864865	0.03842264914054601	0.006666666666666667	0.0205761316872428	0.0410958904109589	0.055666003976143144	1.3370694399227394	3.6172646000931685	8
D06	Queen's Gambit	1. d4 d5 2. c4	['d2d4', 'd7d5', 'c2c4']	191832969	"[""Queen's Pawn Game""]"	rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2	3	0	0	2	2	0	4	0.012922186949052426	0.0	0.004044489383215369	0.0	0.00411522633744856	0.0	0.003976143141153081	0.31846206479394157	0.30769893337943455	9
C50	Italian Game	1. e4 e5 2. Nf3 Nc6 3. Bc4	['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1c4']	189985983	"[""King's Pawn Game"", ""King's Knight Opening"", ""King's Knight Opening: Normal Variation""]"	r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3	5	0	0	0	1	0	1	0.012797770908844642	0.0	0.0010111223458038423	0.0	0.0	0.0	0.0019880715705765406	0.0	0.15534514445813125	10
B10	Caro-Kann Defense	1. e4 c6	['e2e4', 'c7c6']	178783760	"[""King's Pawn Game""]"	rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2	2	3	0	12	0	3	12	0.01204317058854738	0.010135135135135136	0.012133468149646108	0.02	0.024691358024691357	0.0	0.0	2.0502373393408497	0.0	11
A04	Zukertort Opening	1. Nf3	['g1f3']	165881072	[]	rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1	1	0	0	0	4	0	4	0.011174024125609116	0.0	0.004044489383215369	0.0	0.0	0.0	0.007952286282306162	0.0	0.7116761332276673	12
A10	English Opening	1. c4	['c2c4']	155084674	[]	rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1	1	0	0	0	4	0	4	0.01044676085037734	0.0	0.004044489383215369	0.0	0.0	0.0	0.007952286282306162	0.0	0.7612202860007964	13
C00	French Defense: Normal Variation	1. e4 e6 2. d4	['e2e4', 'e7e6', 'd2d4']	131224648	"[""King's Pawn Game"", 'French Defense']"	rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2	3	0	0	2	3	0	5	0.00883950992688644	0.0	0.005055611729019211	0.0	0.00411522633744856	0.0	0.005964214711729622	0.4655491505169988	0.6747223274888511	14
B01	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5	['e2e4', 'd7d5', 'e4d5', 'd8d5']	130513498	"[""King's Pawn Game"", 'Scandinavian Defense']"	rnb1kbnr/ppp1pppp/8/3q4/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 3	4	0	0	0	0	0	0	0.008791605683435885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15
A40	Horwitz Defense	1. d4 e6	['d2d4', 'e7e6']	117625426	"[""Queen's Pawn Game""]"	rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2	2	1	0	2	0	1	2	0.00792344377849843	0.0033783783783783786	0.0020222446916076846	0.006666666666666667	0.00411522633744856	0.0	0.0	0.519373450798743	0.0	16
C23	Bishop's Opening	1. e4 e5 2. Bc4	['e2e4', 'e7e5', 'f1c4']	116332695	"[""King's Pawn Game""]"	rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2	3	0	0	0	3	0	3	0.007836363274329015	0.0	0.003033367037411527	0.0	0.0	0.0	0.005964214711729622	0.0	0.7610947199535367	17
B30	Sicilian Defense: Old Sicilian	1. e4 c5 2. Nf3 Nc6	['e2e4', 'c7c5', 'g1f3', 'b8c6']	111374909	"[""King's Pawn Game"", 'Sicilian Defense']"	r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3	4	0	0	5	1	0	6	0.007502398586823215	0.0	0.006066734074823054	0.0	0.0102880658436214	0.0	0.0019880715705765406	1.371303553731572	0.2649914620729797	18
A00	Van't Kruijs Opening	1. e3	['e2e3']	104599165	[]	rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1	1	0	1	0	1	1	1	0.007045973233332907	0.0033783783783783786	0.0010111223458038423	0.0	0.0	0.00684931506849315	0.0019880715705765406	0.0	0.2821571278714803	19
C41	Philidor Defense	1. e4 e5 2. Nf3 d6	['e2e4', 'e7e5', 'g1f3', 'd7d6']	104291573	"[""King's Pawn Game"", ""King's Knight Opening""]"	rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3	4	0	0	0	0	0	0	0.007025253326067994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20
D02	Queen's Pawn Game: Zukertort Variation	1. d4 d5 2. Nf3	['d2d4', 'd7d5', 'g1f3']	100294610	"[""Queen's Pawn Game""]"	rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2	3	0	0	0	0	0	0	0.006756011269378325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21
A50	Indian Defense: Normal Variation	1. d4 Nf6 2. c4	['d2d4', 'g8f6', 'c2c4']	99537959	"[""Queen's Pawn Game"", 'Indian Defense']"	rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2	3	0	0	4	15	0	19	0.006705042003103833	0.0	0.019211324570273004	0.0	0.00823045267489712	0.0	0.02982107355864811	1.2275020307236195	4.447559544719277	22
C60	Ruy Lopez	1. e4 e5 2. Nf3 Nc6 3. Bb5	['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5']	99512739	"[""King's Pawn Game"", ""King's Knight Opening"", ""King's Knight Opening: Normal Variation""]"	r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3	5	0	0	0	2	0	2	0.006703343142076169	0.0	0.0020222446916076846	0.0	0.0	0.0	0.003976143141153081	0.0	0.5931582281973983	23
B00	Pirc Defense	1. e4 d6	['e2e4', 'd7d6']	98576062	"[""King's Pawn Game""]"	rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2	2	1	0	4	0	1	4	0.00664024702586646	0.0033783783783783786	0.004044489383215369	0.006666666666666667	0.00823045267489712	0.0	0.0	1.2394798932684525	0.0	24
B06	Modern Defense	1. e4 g6	['e2e4', 'g7g6']	91873932	"[""King's Pawn Game""]"	rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2	2	0	0	4	0	0	4	0.006188780433505828	0.0	0.004044489383215369	0.0	0.00823045267489712	0.0	0.0	1.3298989620536146	0.0	25
B50	Sicilian Defense: Modern Variations	1. e4 c5 2. Nf3 d6	['e2e4', 'c7c5', 'g1f3', 'd7d6']	90040635	"[""King's Pawn Game"", 'Sicilian Defense']"	rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3	4	0	0	4	0	0	4	0.00606528650704141	0.0	0.004044489383215369	0.0	0.00823045267489712	0.0	0.0	1.3569767339666625	0.0	26
C42	Russian Game	1. e4 e5 2. Nf3 Nf6	['e2e4', 'e7e5', 'g1f3', 'g8f6']	87757662	"[""King's Pawn Game"", ""King's Knight Opening""]"	rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3	4	0	0	0	0	0	0	0.005911501659424111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27
D00	Queen's Pawn Game: Accelerated London System	1. d4 d5 2. Bf4	['d2d4', 'd7d5', 'c1f4']	85529125	"[""Queen's Pawn Game""]"	rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2	3	0	0	0	0	0	0	0.005761383711049552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28
C00	French Defense: Knight Variation	1. e4 e6 2. Nf3	['e2e4', 'e7e6', 'g1f3']	84605977	"[""King's Pawn Game"", 'French Defense']"	rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2	3	0	0	0	0	0	0	0.0056991989307178465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29
A00	Hungarian Opening	1. g3	['g2g3']	80904135	[]	rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1	1	0	1	0	7	1	7	0.005449836714049792	0.0033783783783783786	0.007077856420626896	0.0	0.0	0.00684931506849315	0.013916500994035786	0.0	2.553562927520151	30
C44	Scotch Game	1. e4 e5 2. Nf3 Nc6 3. d4	['e2e4', 'e7e5', 'g1f3', 'b8c6', 'd2d4']	75192509	"[""King's Pawn Game"", ""King's Knight Opening"", ""King's Knight Opening: Normal Variation""]"	r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3	5	0	0	0	0	0	0	0.005065092113891576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31
