eco	name	pgn	uci_moves	games
A00	Amar Gambit	1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4	['g1h3', 'd7d5', 'g2g3', 'e7e5', 'f2f4', 'c8h3', 'f1h3', 'e5f4']	2025
A00	Amar Opening	1. Nh3	['g1h3']	1531792
A00	Amar Opening: Gent Gambit	1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O fxg3 6. hxg3	['g1h3', 'd7d5', 'g2g3', 'e7e5', 'f2f4', 'c8h3', 'f1h3', 'e5f4', 'e1g1', 'f4g3', 'h2g3']	212
A00	Amar Opening: Paris Gambit	1. Nh3 d5 2. g3 e5 3. f4	['g1h3', 'd7d5', 'g2g3', 'e7e5', 'f2f4']	15845
A00	Amsterdam Attack	1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6	['e2e3', 'e7e5', 'c2c4', 'd7d6', 'b1c3', 'b8c6', 'b2b3', 'g8f6']	9657
A00	Anderssen's Opening	1. a3	['a2a3']	4513275
A00	Anderssen's Opening: Polish Gambit	1. a3 a5 2. b4	['a2a3', 'a7a5', 'b2b4']	16810
A00	Barnes Opening	1. f3	['f2f3']	6338367
A00	Barnes Opening: Fool's Mate	1. f3 e5 2. g4 Qh4#	['f2f3', 'e7e5', 'g2g4', 'd8h4']	0
A00	Barnes Opening: Gedult Gambit	1. f3 d5 2. e4 g6 3. d4 dxe4 4. c3	['f2f3', 'd7d5', 'e2e4', 'g7g6', 'd2d4', 'd5e4', 'c2c3']	2724
A00	Barnes Opening: Gedult Gambit	1. f3 f5 2. e4 fxe4 3. Nc3	['f2f3', 'f7f5', 'e2e4', 'f5e4', 'b1c3']	7435
A00	Barnes Opening: Hammerschlag	1. f3 e5 2. Kf2	['f2f3', 'e7e5', 'e1f2']	256804
A00	Clemenz Opening	1. h3	['h2h3']	3513736
A00	Clemenz Opening: Spike Lee Gambit	1. h3 h5 2. g4	['h2h3', 'h7h5', 'g2g4']	8746
A00	Crab Opening	1. a4 e5 2. h4	['a2a4', 'e7e5', 'h2h4']	361973
A00	Creepy Crawly Formation: Classical Defense	1. h3 d5 2. a3 e5	['h2h3', 'd7d5', 'a2a3', 'e7e5']	414090
A00	Formation: Hippopotamus Attack	1. a3 e5 2. b3 d5 3. c3 Nf6 4. d3 Nc6 5. e3 Bd6 6. f3 O-O 7. g3	['a2a3', 'e7e5', 'b2b3', 'd7d5', 'c2c3', 'g8f6', 'd2d3', 'b8c6', 'e2e3', 'f8d6', 'f2f3', 'e8g8', 'g2g3']	2300
A00	Formation: Shy Attack	1. a3 e5 2. g3 d5 3. Bg2 Nf6 4. d3 Nc6 5. Nd2 Bd6 6. e3 O-O 7. h3	['a2a3', 'e7e5', 'g2g3', 'd7d5', 'f1g2', 'g8f6', 'd2d3', 'b8c6', 'b1d2', 'f8d6', 'e2e3', 'e8g8', 'h2h3']	737
A00	Global Opening	1. h3 e5 2. a3	['h2h3', 'e7e5', 'a2a3']	516671
A00	Grob Opening	1. g4	['g2g4']	12881189
A00	Grob Opening: Alessi Gambit	1. g4 f5	['g2g4', 'f7f5']	58640
A00	Grob Opening: Double Grob	1. g4 g5	['g2g4', 'g7g5']	142051
A00	Grob Opening: Double Grob, Coca-Cola Gambit	1. g4 g5 2. f4	['g2g4', 'g7g5', 'f2f4']	4895
A00	Grob Opening: Grob Gambit	1. g4 d5 2. Bg2	['g2g4', 'd7d5', 'f1g2']	3242284
A00	Grob Opening: Grob Gambit Declined	1. g4 d5 2. Bg2 c6	['g2g4', 'd7d5', 'f1g2', 'c7c6']	898086
A00	Grob Opening: Grob Gambit, Basman Gambit	1. g4 d5 2. Bg2 h5 3. gxh5	['g2g4', 'd7d5', 'f1g2', 'h7h5', 'g4h5']	4411
A00	Grob Opening: Grob Gambit, Fritz Gambit	1. g4 d5 2. Bg2 Bxg4 3. c4	['g2g4', 'd7d5', 'f1g2', 'c8g4', 'c2c4']	1179118
A00	Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit	1. g4 d5 2. Bg2 Bxg4 3. c4 d4 4. Bxb7 Nd7 5. Bxa8 Qxa8	['g2g4', 'd7d5', 'f1g2', 'c8g4', 'c2c4', 'd5d4', 'g2b7', 'b8d7', 'b7a8', 'd8a8']	9416
A00	Grob Opening: Grob Gambit, Keres Gambit	1. g4 d5 2. Bg2 e5 3. d4 exd4 4. c3	['g2g4', 'd7d5', 'f1g2', 'e7e5', 'd2d4', 'e5d4', 'c2c3']	183
A00	Grob Opening: Grob Gambit, Richter-Grob Gambit	1. g4 d5 2. Bg2 c6 3. c4 dxc4 4. b3	['g2g4', 'd7d5', 'f1g2', 'c7c6', 'c2c4', 'd5c4', 'b2b3']	7275
A00	Grob Opening: Keene Defense	1. g4 d5 2. h3 e5 3. Bg2 c6	['g2g4', 'd7d5', 'h2h3', 'e7e5', 'f1g2', 'c7c6']	150353
A00	Grob Opening: Keene Defense, Main Line	1. g4 d5 2. h3 e5 3. Bg2 c6 4. d4 e4 5. c4 Bd6 6. Nc3 Ne7	['g2g4', 'd7d5', 'h2h3', 'e7e5', 'f1g2', 'c7c6', 'd2d4', 'e5e4', 'c2c4', 'f8d6', 'b1c3', 'g8e7']	1575
A00	Grob Opening: London Defense	1. g4 e5 2. h3 Nc6	['g2g4', 'e7e5', 'h2h3', 'b8c6']	57169
A00	Grob Opening: Romford Countergambit	1. g4 d5 2. Bg2 Bxg4 3. c4 d4	['g2g4', 'd7d5', 'f1g2', 'c8g4', 'c2c4', 'd5d4']	21298
A00	Grob Opening: Spike Attack	1. g4 d5 2. Bg2 c6 3. g5	['g2g4', 'd7d5', 'f1g2', 'c7c6', 'g4g5']	158189
A00	Grob Opening: Spike, Hurst Attack	1. g4 e5 2. Bg2 d5 3. c4	['g2g4', 'e7e5', 'f1g2', 'd7d5', 'c2c4']	793484
A00	Grob Opening: Zilbermints Gambit	1. g4 d5 2. e4 dxe4 3. Nc3	['g2g4', 'd7d5', 'e2e4', 'd5e4', 'b1c3']	5819
A00	Grob Opening: Zilbermints Gambit, Schiller Defense	1. g4 d5 2. e4 dxe4 3. Nc3 h5	['g2g4', 'd7d5', 'e2e4', 'd5e4', 'b1c3', 'h7h5']	180
A00	Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit	1. g4 d5 2. e4 dxe4 3. Nc3 e5 4. d3	['g2g4', 'd7d5', 'e2e4', 'd5e4', 'b1c3', 'e7e5', 'd2d3']	398
A00	Hungarian Opening	1. g3	['g2g3']	80904135
A00	Hungarian Opening: Asten Gambit	1. g3 Nc6 2. Nc3 d5 3. d4 e5 4. dxe5 d4 5. Ne4 f5	['g2g3', 'b8c6', 'b1c3', 'd7d5', 'd2d4', 'e7e5', 'd4e5', 'd5d4', 'c3e4', 'f7f5']	10
A00	Hungarian Opening: Burk Gambit	1. g3 e5 2. a3 d5 3. Nf3 e4 4. Nh4 Be7 5. d3	['g2g3', 'e7e5', 'a2a3', 'd7d5', 'g1f3', 'e5e4', 'f3h4', 'f8e7', 'd2d3']	61
A00	Hungarian Opening: Bücker Gambit	1. g3 d5 2. Bg2 e5 3. b4	['g2g3', 'd7d5', 'f1g2', 'e7e5', 'b2b4']	9208
A00	Hungarian Opening: Catalan Formation	1. g3 d5 2. Bg2 e6	['g2g3', 'd7d5', 'f1g2', 'e7e6']	6274957
A00	Hungarian Opening: Dutch Defense	1. g3 f5	['g2g3', 'f7f5']	789702
A00	Hungarian Opening: Indian Defense	1. g3 Nf6	['g2g3', 'g8f6']	6148480
A00	Hungarian Opening: Myers Defense	1. g3 g5	['g2g3', 'g7g5']	158309
A00	Hungarian Opening: Pachman Gambit	1. g3 f5 2. e4 fxe4 3. Qh5+ g6	['g2g3', 'f7f5', 'e2e4', 'f5e4', 'd1h5', 'g7g6']	248
A00	Hungarian Opening: Paris Gambit	1. g3 e5 2. Nh3 d5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O	['g2g3', 'e7e5', 'g1h3', 'd7d5', 'f2f4', 'c8h3', 'f1h3', 'e5f4', 'e1g1']	786
A00	Hungarian Opening: Reversed Alekhine	1. g3 e5 2. Nf3	['g2g3', 'e7e5', 'g1f3']	1973784
A00	Hungarian Opening: Reversed Brooklyn Defense, Brooklyn Benko Gambit	1. g3 e5 2. Nf3 e4 3. Ng1 Nf6 4. b4	['g2g3', 'e7e5', 'g1f3', 'e5e4', 'f3g1', 'g8f6', 'b2b4']	3
A00	Hungarian Opening: Reversed Modern Defense	1. g3 d5 2. Bg2 c5	['g2g3', 'd7d5', 'f1g2', 'c7c5']	2034524
A00	Hungarian Opening: Reversed Norwegian Defense	1. g3 e5 2. Nf3 e4 3. Nh4	['g2g3', 'e7e5', 'g1f3', 'e5e4', 'f3h4']	29660
A00	Hungarian Opening: Sicilian Invitation	1. g3 c5	['g2g3', 'c7c5']	5722654
A00	Hungarian Opening: Slav Formation	1. g3 d5 2. Bg2 c6	['g2g3', 'd7d5', 'f1g2', 'c7c6']	6844586
A00	Hungarian Opening: Symmetrical Variation	1. g3 g6	['g2g3', 'g7g6']	5726282
A00	Hungarian Opening: Van Kuijk Gambit	1. g3 h5 2. Nf3 h4	['g2g3', 'h7h5', 'g1f3', 'h5h4']	56850
A00	Hungarian Opening: Winterberg Gambit	1. g3 d5 2. Bg2 e5 3. c4 dxc4 4. b3	['g2g3', 'd7d5', 'f1g2', 'e7e5', 'c2c4', 'd5c4', 'b2b3']	2583
A00	Kádas Opening	1. h4	['h2h4']	5839978
A00	Kádas Opening: Beginner's Trap	1. h4 d5 2. Rh3	['h2h4', 'd7d5', 'h1h3']	76090
A00	Kádas Opening: Kádas Gambit	1. h4 c5 2. b4	['h2h4', 'c7c5', 'b2b4']	1254
